id,title,release_date,popularity,vote_average,vote_count
960258,Shark Bait,2022-05-13,34.679,5.697,318
11067,Major League II,1994-03-30,16.374,5.697,320
20856,Aliens in the Attic,2009-07-30,20.437,5.696,973
14098,100 Feet,2008-07-22,18.927,5.696,304
11398,The Art of War,2000-08-25,12.022,5.696,477
11472,Nine Months,1995-07-12,17.622,5.695,631
9562,Timeline,2003-11-26,26.355,5.695,1041
485811,Redcon-1,2018-09-07,21.648,5.693,303
270774,Skiptrace,2016-07-21,22.066,5.693,670
480105,47 Meters Down: Uncaged,2019-08-15,22.417,5.692,1390
48988,Hall Pass,2011-02-25,24.921,5.692,1926
2087,The Getaway,1994-02-11,22.47,5.692,328
385360,Billionaire Boys Club,2018-07-19,13.225,5.7,458
230222,Tarzan,2013-10-17,22.784,5.689,585
59115,Quarantine 2: Terminal,2011-06-16,13.221,5.689,531
10723,Bulletproof,1996-09-06,12.428,5.7,569
397422,Rough Night,2017-06-15,19.368,5.688,1963
70435,Haywire,2011-11-01,17.259,5.7,1333
36599,Prom Night,1980-07-18,15.854,5.7,414
23410,The Thaw,2009-08-30,18.424,5.689,304
278,The Shawshank Redemption,1994-09-23,191.303,8.706,26757
238,The Godfather,1972-03-14,152.632,8.69,20306
240,The Godfather Part II,1974-12-20,90.368,8.574,12244
424,Schindler's List,1993-12-15,92.258,8.565,15659
389,12 Angry Men,1957-04-10,70.095,8.544,8490
129,Spirited Away,2001-07-20,139.663,8.535,16288
19404,Dilwale Dulhania Le Jayenge,1995-10-20,53.491,8.531,4422
155,The Dark Knight,2008-07-16,166.733,8.516,32494
496243,Parasite,2019-05-30,103.416,8.507,17981
497,The Green Mile,1999-12-10,97.284,8.507,17182
372058,Your Name.,2016-08-26,102.811,8.488,11228
680,Pulp Fiction,1994-09-10,118.032,8.487,27603
122,The Lord of the Rings: The Return of the King,2003-12-17,173.882,8.48,23876
13,Forrest Gump,1994-06-23,119.068,8.474,27123
769,GoodFellas,1990-09-12,91.232,8.463,12683
667257,Impossible Things,2021-06-17,27.127,8.462,381
429,"The Good, the Bad and the Ugly",1966-12-22,102.322,8.461,8473
346,Seven Samurai,1954-04-26,54.84,8.46,3598
12477,Grave of the Fireflies,1988-04-16,0.059,8.456,5386
637,Life Is Beautiful,1997-12-20,44.777,8.45,12899
11216,Cinema Paradiso,1988-11-17,30.902,8.449,4303
157336,Interstellar,2014-11-05,177.797,8.44,35110
550,Fight Club,1999-10-15,87.016,8.438,29049
1084736,The Count of Monte-Cristo,2024-06-28,86.72,8.431,511
539,Psycho,1960-06-22,44.659,8.43,9906
598,City of God,2002-08-30,64.9,8.426,7257
510,One Flew Over the Cuckoo's Nest,1975-11-19,47.864,8.418,10289
696374,Gabriel's Inferno,2020-05-29,18.358,8.416,2406
311,Once Upon a Time in America,1984-05-23,45.096,8.4,5290
120,The Lord of the Rings: The Fellowship of the Ring,2001-12-18,186.299,8.414,24809
372754,Dou kyu sei – Classmates,2016-02-20,16.882,8.4,374
4935,Howl's Moving Castle,2004-09-09,95.447,8.403,9720
324857,Spider-Man: Into the Spider-Verse,2018-12-06,97.33,8.401,15379
704264,Primal: Tales of Savagery,2019-11-21,13.901,8.4,310
40096,A Dog's Will,2000-09-15,12.837,8.4,1081
14537,Harakiri,1962-09-15,39.354,8.397,969
121,The Lord of the Rings: The Two Towers,2002-12-18,137.087,8.397,21558
724089,Gabriel's Inferno: Part II,2020-07-31,9.431,8.4,1509
255709,Hope,2013-10-02,30.576,8.394,719
1160164,TAYLOR SWIFT | THE ERAS TOUR,2023-10-13,59.408,8.4,377
1891,The Empire Strikes Back,1980-05-20,49.351,8.392,16755
761053,Gabriel's Inferno: Part III,2020-11-19,28.514,8.4,1049
244786,Whiplash,2014-10-10,89.341,8.382,14891
423,The Pianist,2002-09-17,46.878,8.4,9044
378064,A Silent Voice: The Movie,2016-09-17,54.303,8.38,3895
1058694,Radical,2023-10-19,47.294,8.381,398
620249,The Legend of Hei,2019-08-27,21.141,8.379,354
807,Se7en,1995-09-22,84.674,8.375,20739
27205,Inception,2010-07-15,94.76,8.368,36238
568332,Taylor Swift: Reputation Stadium Tour,2018-12-31,19.59,8.357,375
569094,Spider-Man: Across the Spider-Verse,2023-05-31,183.598,8.356,6728
567,Rear Window,1954-08-01,32.53,8.353,6374
274,The Silence of the Lambs,1991-02-14,18.452,8.349,16056
73,American History X,1998-07-01,38.262,8.345,11411
128,Princess Mononoke,1997-07-12,94.791,8.335,7871
15804,A Brighter Summer Day,1991-07-27,29.323,8.3,302
1139087,Once Upon a Studio,2023-09-24,41.224,8.325,345
820067,The Quintessential Quintuplets Movie,2022-05-20,31.479,8.325,377
12493,High and Low,1963-03-01,25.142,8.3,873
92321,Hotarubi no Mori e,2011-09-17,0.023,8.3,1089
105,Back to the Future,1985-07-03,83.303,8.318,19664
207,Dead Poets Society,1989-06-02,52.604,8.312,11055
10494,Perfect Blue,1998-02-28,51.752,8.31,2576
644479,Dedicated to my ex,2019-11-01,11.05,8.309,500
914,The Great Dictator,1940-10-15,33.447,8.309,3307
599,Sunset Boulevard,1950-08-10,19.988,8.3,2523
101,Léon: The Professional,1994-09-14,73.539,8.308,14582
18491,Neon Genesis Evangelion: The End of Evangelion,1997-07-19,31.337,8.306,1554
3782,Ikiru,1952-10-09,23.526,8.301,1108
3082,Modern Times,1936-02-05,16.512,8.294,3633
335,Once Upon a Time in the West,1968-12-21,53.167,8.286,4262
901,City Lights,1931-02-06,14.993,8.3,2122
77338,The Intouchables,2011-11-02,59.591,8.279,17018
29259,Le Trou,1960-03-18,14.959,8.279,458
1585,It's a Wonderful Life,1946-12-20,57.229,8.3,4218
28,Apocalypse Now,1979-08-15,56.833,8.3,8093
975,Paths of Glory,1957-10-25,25.515,8.3,2844
533514,Violet Evergarden: The Movie,2020-09-18,33.904,8.3,399
637920,Miracle in Cell No. 7,2019-10-10,32.431,8.3,4356
527641,Five Feet Apart,2019-03-14,48.317,8.266,5527
10376,The Legend of 1900,1998-10-28,21.584,8.266,2220
632632,Given,2020-08-22,22.337,8.3,377
283566,Evangelion: 3.0+1.0 Thrice Upon a Time,2021-03-08,36.017,8.261,788
995133,"The Boy, the Mole, the Fox and the Horse",2022-12-25,31.108,8.3,525
447362,Life in a Year,2020-11-27,39.078,8.3,1843
25237,Come and See,1985-10-17,29.676,8.3,1443
630566,Clouds,2020-10-09,10.434,8.258,996
8587,The Lion King,1994-06-24,115.881,8.257,18044
652837,"Josee, the Tiger and the Fish",2020-12-25,23.572,8.3,450
670,Oldboy,2003-11-21,52.908,8.255,8501
299534,Avengers: Endgame,2019-04-24,152.558,8.252,25325
42269,We All Loved Each Other So Much,1974-12-21,8.809,8.25,534
299536,Avengers: Infinity War,2018-04-25,299.585,8.246,29388
490132,Green Book,2018-11-16,54.493,8.24,11411
